Account Code,Account Name,Portal URL,Type,Address
N6HR8WYU,Prodigy Hospitality Group,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=N6HR8WYU,Regular,"137 Locke St S, Hamilton, ON"
N8P7S3WN,Linny's Restaurant,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=N8P7S3WN,Regular,"176 Ossington Ave, Toronto, ON"
NAAL4TKC,Black Bear Ridge Golf Course,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NAAL4TKC,Regular,"501 Harmony Road, Belleville, ON K0K 1V0"
NBYUKKMV,Electric Island,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NBYUKKMV,Live Nation,"250 Fort York Blvd, Toronto, ON"
NH5GZD3R,Eighteen,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NH5GZD3R,Regular,"18 York St, Ottawa, ON"
NPVEX9LB,Boxcar Social Summerhill,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NPVEX9LB,Regular,"1208 Yonge st, Toronto, ON"
NQ7C553C,Bar Poet,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NQ7C553C,Regular,"1090 Queen St W. Toronto, ON"
NRNT3G3W,Alice Restaurant & Bar,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NRNT3G3W,Regular,"488 College St, Toronto, ON"
NSJ4FRTX,Chez Piggy,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NSJ4FRTX,Regular,"68 Princess St, Kingston, ON K7L 1A5"
NVLUA65N,Takja BBQ House,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NVLUA65N,Regular,"962 College Street, Toronto, ON M6H1A5"
NY63KWCQ,Local Public Eatery (Leaside),https://12trinity.github.io/order-portal/12-trinity-portal.html?account=NY63KWCQ,Regular,"180 Laird Dr, East York, ON"
P3J95R8R,Brass Monkey Speakeasy,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=P3J95R8R,Regular,"Tall Ship Empire Sandy, Queens Quay & Spadina. Toronto, ON"
P4Y9VX3K,Local Public Eatery (Liberty),https://12trinity.github.io/order-portal/12-trinity-portal.html?account=P4Y9VX3K,Regular,"171 E Liberty St Unit 100, Toronto, ON"
